,PDB ID,Length,Set,Sample weight,Sample weight none,Sample weight flat95,Sample weight flat70
0,1p3q_0-Q,43,Fold 1,1.0,1.0,1.0,1.0
1,1s1q_0-A,137,Fold 1,0.5,1.0,0.5,0.5
2,1s1q_0-C,135,Fold 1,0.5,1.0,0.5,0.5
3,1uzx_0-A,135,Fold 1,1.0,1.0,1.0,1.0
4,2ayo_0-A,355,Fold 1,1.0,1.0,1.0,1.0
5,2g45_0-A,117,Fold 1,0.5,1.0,0.5,0.5
6,2g45_0-D,117,Fold 1,0.5,1.0,0.5,0.5
7,2gmi_0-A,152,Fold 1,1.0,1.0,1.0,1.0
8,2gmi_0-B,135,Fold 1,1.0,1.0,1.0,1.0
9,2hd5_0-A,315,Fold 1,0.5,1.0,1.0,0.3333333333333333
10,2ibi_0-A,335,Fold 1,0.25,1.0,0.5,0.3333333333333333
11,2oob_0-A,44,Fold 1,1.0,1.0,1.0,1.0
12,2qho_0-B,47,Fold 1,0.25,1.0,0.25,0.25
13,2qho_0-D,49,Fold 1,0.25,1.0,0.25,0.25
14,2qho_0-F,49,Fold 1,0.25,1.0,0.25,0.25
15,2qho_0-H,48,Fold 1,0.25,1.0,0.25,0.25
16,3a33_0-A,150,Fold 1,0.25,1.0,0.3333333333333333,0.2
17,3i3t_0-A,303,Fold 1,0.2,1.0,0.16666666666666666,0.16666666666666666
18,3i3t_0-C,310,Fold 1,0.1,1.0,0.16666666666666666,0.16666666666666666
19,3i3t_0-E,310,Fold 1,0.1,1.0,0.16666666666666666,0.16666666666666666
20,3i3t_0-G,304,Fold 1,0.2,1.0,0.16666666666666666,0.16666666666666666
21,3ihp_0-A,673,Fold 1,0.5,1.0,0.5,0.5
22,3ihp_0-B,681,Fold 1,0.5,1.0,0.5,0.5
23,3jvz_0-A,146,Fold 1,0.125,1.0,0.3333333333333333,0.2
24,3jvz_0-B,146,Fold 1,0.125,1.0,0.3333333333333333,0.2
25,3k9p_0-A,199,Fold 1,1.0,1.0,1.0,1.0
26,3mhs_0-A,455,Fold 1,1.0,1.0,1.0,1.0
27,3mtn_0-A,316,Fold 1,0.2,1.0,0.16666666666666666,0.16666666666666666
28,3mtn_0-C,314,Fold 1,0.2,1.0,0.16666666666666666,0.16666666666666666
