E1,E2,E3,DUB,ubiquitinBinding,proteome
A0A022QL98,A0A022PRA6,A0A022PTB0,A0A022PPD4,A0A010QVZ3,A0A024RBG1
A0A022RQB5,A0A022PY48,A0A022PTD3,A0A022PSD3,A0A010RI79,A0A075B6H5
A0A022S055,A0A022Q011,A0A022PZJ2,A0A022PUK1,A0A010RQW2,A0A075B6H7
A0A059D4L0,A0A022Q116,A0A022Q2H3,A0A022PVG6,A0A010RWR7,A0A075B6H8
A0A061GXI7,A0A022Q6W2,A0A022Q3Q5,A0A022PWG3,A0A010RYU5,A0A075B6H9
A0A061H0D1,A0A022Q6W7,A0A022Q5I7,A0A022PWH2,A0A010S137,A0A075B6I0
A0A067FAT6,A0A022Q9W7,A0A022Q5J3,A0A022PXD5,A0A010S4R2,A0A075B6I1
A0A067FUV5,A0A022QAC5,A0A022Q5N8,A0A022PXL7,A0A010SMF7,A0A075B6I3
A0A072UEZ0,A0A022QCJ7,A0A022Q775,A0A022PYH1,A0A014PK84,A0A075B6I4
A0A078FBG7,A0A022QD30,A0A022Q918,A0A022Q287,A0A014R0L5,A0A075B6I6
A0A078GHE3,A0A022QD37,A0A022Q951,A0A022Q5B3,A0A015J099,A0A075B6I7
A0A078GX15,A0A022QGE7,A0A022Q9D0,A0A022Q7U4,A0A015J818,A0A075B6I9
A0A078JK01,A0A022QPY8,A0A022QAJ2,A0A022QB55,A0A015J853,A0A075B6J1
A0A0A0KE12,A0A022QYC5,A0A022QBD9,A0A022QHG8,A0A015JGW1,A0A075B6J2
A0A0D1CFJ5,A0A022QYP5,A0A022QDH3,A0A022QII4,A0A015JV83,A0A075B6J6
A0A0K9PV95,A0A022QZ35,A0A022QEP3,A0A022QJ21,A0A015K8Z5,A0A075B6J9
A0A0K9QK53,A0A022QZ73,A0A022QFF6,A0A022QJM4,A0A015KNX3,A0A075B6K0
A0A0K9S0M1,A0A022R7C4,A0A022QGT4,A0A022QKN9,A0A015LZQ3,A0A075B6K2
A0A0N7KH34,A0A022R8Q4,A0A022QHP8,A0A022QRR7,A0A015MEK6,A0A075B6K4
A0A0P0XAH7,A0A022R9T5,A0A022QHX2,A0A022QST1,A0A015NFQ3,A0A075B6K5
A0A0R0GFI8,A0A022RDL2,A0A022QIF4,A0A022QTV5,A0A016RT55,A0A075B6K6
A0A139WLH6,A0A022RR49,A0A022QK43,A0A022QUY6,A0A016SK58,A0A075B6L6
A0A1D5PCI5,A0A022RWR4,A0A022QK95,A0A022QX12,A0A016SR31,A0A075B6N1
A0A1D6EJ37,A0A022RXK0,A0A022QKM2,A0A022QY46,A0A016SR55,A0A075B6N2
A0A1D6IP61,A0A022RY95,A0A022QPY2,A0A022R0S4,A0A016SRG6,A0A075B6N3
A0A1D6IQP4,A0A022S0S4,A0A022QQ30,A0A022R0V6,A0A016SRV9,A0A075B6N4
A0A1D6JZI3,A0A022S2T1,A0A022QQS5,A0A022R2A9,A0A016SRY4,A0A075B6P5
A0A1D6QG29,A0A022S5X4,A0A022QU23,A0A022R2Q1,A0A016SS05,A0A075B6Q5
A0A1S3ZGD7,A0A059A1J2,A0A022QW16,A0A022R700,A0A016SS31,A0A075B6R0
A0A1S4A564,A0A059A5G9,A0A022QWU0,A0A022R897,A0A016SS54,A0A075B6R2
